BeautyScore,female,lower,nonenglish,tenuretrack,minority
-0.6756103,0,1,0,1,0
-0.0901815,1,1,0,1,0
-0.1450257,1,0,1,1,0
1.143045,0,1,0,1,0
0.3320507,1,0,1,1,1
0.2015666,1,0,0,1,1
0.2015666,1,0,0,1,1
0.2015666,1,0,0,1,1
-0.8260813,0,0,0,1,0
-0.8260813,0,0,0,1,0
-0.6603327,0,0,0,1,0
-0.7663125,1,0,0,1,0
-0.7663125,1,0,0,1,0
-0.7663125,1,0,0,1,0
-0.7663125,1,0,0,1,0
-0.7663125,1,0,0,1,0
-0.7663125,1,0,0,1,0
-0.7663125,1,0,0,1,0
1.421445,1,0,0,1,0
1.421445,1,0,0,1,0
1.421445,1,0,0,1,0
1.421445,1,0,0,1,0
1.421445,1,0,0,1,0
0.5002196,0,0,0,1,0
0.5002196,0,0,0,1,0
0.5002196,0,0,0,1,0
0.5002196,0,0,0,1,0
0.5002196,0,0,0,1,0
0.5002196,0,0,0,1,0
-0.2143501,1,0,0,1,0
-0.2143501,1,0,0,1,0
-0.2143501,1,0,0,1,0
-0.2143501,1,0,0,1,0
-0.346539,1,0,0,1,0
-0.346539,1,0,0,1,0
-0.346539,1,0,0,1,0
-0.346539,1,1,0,1,0
-0.346539,1,0,0,1,0
-0.346539,1,0,0,1,0
0.0613435,1,0,0,1,0
0.0613435,1,0,0,1,0
0.0613435,1,0,0,1,0
0.0613435,1,0,0,1,0
0.0613435,1,0,0,1,0
0.0613435,1,0,0,1,0
0.4525679,0,0,0,0,0
0.4525679,0,0,0,0,0
0.4525679,0,0,0,0,0
0.4525679,0,1,0,0,0
0.4525679,0,1,0,0,0
0.4525679,0,0,0,0,0
0.4525679,0,1,0,0,0
0.4525679,0,0,0,0,0
0.4525679,0,1,0,0,0
0.1432643,0,0,1,1,1
0.1432643,0,0,1,1,1
-0.1550228,0,0,0,0,0
-0.1550228,0,0,0,0,0
-0.1550228,0,0,0,0,0
-0.1550228,0,0,0,0,0
0.1285433,0,0,0,1,0
0.1285433,0,0,0,1,0
0.1285433,0,0,0,1,0
0.1285433,0,0,0,1,0
0.1285433,0,0,0,1,0
0.1285433,0,0,0,1,0
-0.3470453,0,0,1,1,0
-0.3470453,0,0,1,1,0
-0.3470453,0,0,1,1,0
0.4619388,1,0,0,1,0
0.4619388,1,0,0,1,0
0.4619388,1,0,0,1,0
-0.1503849,0,1,0,1,0
-0.1503849,0,1,0,1,0
-0.1503849,0,0,0,1,0
-0.1503849,0,0,0,1,0
-0.1503849,0,1,0,1,0
-1.070734,1,0,0,0,0
-1.070734,1,0,0,0,0
-1.070734,1,0,0,0,0
-1.070734,1,0,0,0,0
-0.1426931,0,0,0,0,0
-0.1426931,0,0,0,0,0
-0.1426931,0,1,0,0,0
-0.1426931,0,1,0,0,0
-0.1426931,0,0,0,0,0
-0.1426931,0,1,0,0,0
-0.1426931,0,1,0,0,0
-0.1563634,1,1,0,1,0
-0.1563634,1,0,0,1,0
-0.1563634,1,0,0,1,0
-0.1563634,1,0,0,1,0
-0.1563634,1,0,0,1,0
-0.1563634,1,1,0,1,0
-0.1563634,1,0,0,1,0
-0.1563634,1,1,0,1,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
-0.0589354,1,0,0,0,0
0.1511368,1,0,0,0,0
0.1511368,1,0,0,0,0
0.1511368,1,0,0,0,0
0.1511368,1,0,0,0,0
0.1511368,1,0,0,0,0
-0.8214405,0,1,0,1,0
-0.8214405,0,0,0,1,0
-0.8214405,0,1,0,1,0
-0.8214405,0,1,0,1,0
-0.1994712,0,0,0,1,0
-0.1994712,0,0,0,1,0
-0.1994712,0,0,0,1,0
-0.1994712,0,0,0,1,0
-0.1994712,0,0,0,1,0
-0.1994712,0,0,0,1,0
1.687167,1,0,0,1,0
-0.4101976,0,0,0,1,0
-0.4101976,0,1,0,1,0
-0.4101976,0,0,0,1,0
-0.4101976,0,1,0,1,0
0.1233448,0,0,1,1,1
0.1233448,0,0,1,1,1
0.1233448,0,0,1,1,1
0.1233448,0,0,1,1,1
0.1233448,0,0,1,1,1
0.1233448,0,0,1,1,1
-0.8059942,0,0,0,1,0
-0.8059942,0,0,0,1,0
-0.8059942,0,0,0,1,0
-0.8210418,0,0,0,1,0
-0.8210418,0,0,0,1,0
-0.8210418,0,0,0,1,0
-0.0985568,0,0,0,0,0
-0.0985568,0,0,0,0,0
-0.0985568,0,0,0,0,0
-0.0985568,0,0,0,0,0
-0.0985568,0,0,0,0,0
-0.0985568,0,0,0,0,0
-1.012306,0,0,0,1,0
-1.012306,0,0,0,1,0
0.4883314,0,1,0,1,0
0.4883314,0,0,0,1,0
0.4883314,0,0,0,1,0
0.4883314,0,0,0,1,0
-0.1719505,1,0,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,0,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-0.1719505,1,1,0,1,1
-1.167907,0,0,0,1,0
-1.167907,0,0,0,1,0
0.9525534,1,0,0,1,1
0.9525534,1,0,0,1,1
0.9525534,1,0,0,1,1
-1.140457,0,0,0,1,1
-1.140457,0,0,0,1,1
-1.140457,0,0,0,1,1
-1.140457,0,0,0,1,1
-1.140457,0,0,0,1,1
-1.140457,0,0,0,1,1
-1.140457,0,0,0,1,1
-0.8161172,0,0,0,1,0
-0.8161172,0,0,0,1,0
-0.4837456,0,0,0,1,0
-0.4837456,0,0,0,1,0
-0.4837456,0,0,0,1,0
-0.4837456,0,0,0,1,0
-0.4837456,0,0,0,1,0
-0.4837456,0,0,0,1,0
-0.4837456,0,1,0,1,0
-0.3261277,0,0,0,1,0
-0.3261277,0,0,0,1,0
-0.3261277,0,0,0,1,0
-0.3261277,0,0,0,1,0
0.1865589,0,1,0,1,0
0.1865589,0,0,0,1,0
0.1865589,0,1,0,1,0
1.881674,1,0,0,0,0
1.881674,1,0,0,0,0
1.881674,1,1,0,0,0
0.9626006,0,0,0,1,0
0.9626006,0,0,0,1,0
0.1534694,0,0,0,1,0
0.1534694,0,1,0,1,0
0.1534694,0,0,0,1,0
1.261046,0,0,0,1,0
1.261046,0,0,0,1,0
-0.3460746,1,0,0,1,0
-0.3460746,1,0,0,1,0
-0.744618,1,1,0,0,0
-0.744618,1,1,0,0,0
-0.744618,1,0,0,0,0
-0.744618,1,0,0,0,0
-0.744618,1,0,0,0,0
-0.744618,1,0,0,0,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
-0.7447439,0,0,0,1,0
0.6361284,1,0,0,1,0
0.6361284,1,0,0,1,0
0.6361284,1,0,0,1,0
0.6361284,1,0,0,1,0
0.6361284,1,0,0,1,0
0.5434852,0,0,0,1,0
0.5434852,0,0,0,1,0
0.5434852,0,0,0,1,0
0.9825948,1,1,0,1,0
0.9825948,1,0,0,1,0
0.9825948,1,0,0,1,0
0.9825948,1,0,0,1,0
0.9825948,1,1,0,1,0
0.9825948,1,0,0,1,0
-1.538843,1,1,0,1,0
-1.538843,1,1,0,1,0
-1.538843,1,0,0,1,0
-1.538843,1,0,0,1,0
-1.538843,1,0,0,1,0
1.067531,0,0,0,1,0
1.067531,0,1,0,1,0
-0.4143639,0,1,0,1,0
-0.4143639,0,1,0,1,0
-0.4143639,0,0,0,1,0
-0.4143639,0,0,0,1,0
0.7962944,1,0,0,1,0
-0.6466943,1,0,0,1,0
-0.6466943,1,1,0,1,0
-0.6466943,1,1,0,1,0
-0.6466943,1,1,0,1,0
-0.6466943,1,1,0,1,0
-0.6466943,1,1,0,1,0
-0.6466943,1,0,0,1,0
-0.6466943,1,1,0,1,0
-0.6466943,1,0,0,1,0
-0.4299034,0,1,1,1,0
-0.5924066,1,0,0,1,0
-0.5924066,1,0,0,1,0
0.6851749,1,0,0,1,0
0.9755885,1,0,0,1,0
0.9755885,1,0,0,1,0
-1.178738,1,0,0,0,0
-1.178738,1,0,0,0,0
-1.178738,1,0,0,0,0
-1.178738,1,0,0,0,0
-1.178738,1,0,0,0,0
-1.178738,1,0,0,0,0
-1.157511,0,0,0,1,0
-1.157511,0,0,0,1,0
-1.157511,0,0,0,1,0
-1.157511,0,0,0,1,0
-1.157511,0,0,0,1,0
1.327346,0,0,0,1,0
-1.511268,0,0,0,1,0
-1.511268,0,0,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.5783117,0,1,0,1,0
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
-0.671936,0,1,0,0,1
0.6683338,0,0,0,1,0
0.6683338,0,0,0,1,0
0.6683338,0,0,0,1,0
0.6683338,0,0,0,1,0
0.6683338,0,0,0,1,0
0.7924695,0,1,0,1,0
0.7924695,0,1,0,1,0
0.7924695,0,1,0,1,0
0.7924695,0,1,0,1,0
-0.6548505,0,1,0,1,0
-0.6548505,0,1,0,1,0
-0.6548505,0,1,0,1,0
0.2510546,1,1,0,1,0
-0.2397178,1,1,0,1,1
-1.113346,1,1,0,0,0
-1.113346,1,1,0,0,0
-1.113346,1,1,0,0,0
-1.113346,1,1,0,0,0
-1.113346,1,1,0,0,0
-0.1135935,0,1,0,1,0
-0.1135935,0,0,0,1,0
-0.1135935,0,0,0,1,0
-0.8351366,0,0,0,1,0
-0.8351366,0,0,0,1,0
0.9005994,1,0,0,1,0
0.9005994,1,0,0,1,0
0.9005994,1,0,0,1,0
-0.620769,0,1,0,0,0
-0.620769,0,1,0,0,0
-0.620769,0,1,0,0,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,0,0,1,0
-0.8552412,0,1,0,1,0
-0.8552412,0,1,0,1,0
1.065906,1,1,0,0,0
1.065906,1,1,0,0,0
1.065906,1,1,0,0,0
1.065906,1,1,0,0,0
1.144253,1,1,0,1,1
1.144253,1,1,0,1,1
1.144253,1,1,0,1,1
1.144253,1,1,0,1,1
1.685985,0,1,0,0,0
1.685985,0,1,0,0,0
1.685985,0,1,0,0,0
1.685985,0,1,0,0,0
1.685985,0,1,0,0,0
1.685985,0,1,0,0,0
1.685985,0,1,0,0,0
1.684802,0,1,0,1,0
1.684802,0,0,0,1,0
0.6362435,0,1,0,1,0
-1.269975,0,1,0,1,0
-1.269975,0,1,0,1,0
-1.269975,0,1,0,1,0
-1.269975,0,0,0,1,0
-1.269975,0,1,0,1,0
-1.269975,0,1,0,1,0
1.681103,1,1,0,1,1
1.681103,1,1,0,1,1
-0.6756103,0,1,0,1,0
-0.0901815,1,1,0,1,0
-0.0901815,1,1,0,1,0
-0.1450257,1,0,1,1,0
-0.1450257,1,0,1,1,0
-0.1450257,1,0,1,1,0
-0.1450257,1,0,1,1,0
-0.1450257,1,0,1,1,0
-0.1450257,1,0,1,1,0
1.143045,0,1,0,1,0
1.143045,0,0,0,1,0
1.143045,0,1,0,1,0
1.143045,0,1,0,1,0
1.143045,0,0,0,1,0
0.3320507,1,0,1,1,1
0.3320507,1,0,1,1,1
0.3320507,1,1,1,1,1
